genus,species,ID,specimen,year,latitude,longitude,X28mVampl,X44mVampl,X15Nair,p13C,N,C,CN,A13c,Aco2,wue,delta,ci_ca,ci,mat,map,X25lflt_g_mean,X25lflt_cm2_mean,SLA,Leaflets,lifehistory,rangesize,deciduousness,tip_assignment,,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Dalea,pulchra,20,sew 1614,2020,32.33819,-110.69164,4801,7333,-0.61,-24.8,2.32,46.22,19.92241379,-8.78,415.75,121.5585911,16.42739951,0.532185819,221.2562542,144,558,0.000496,0.040088,80.822581,3,3,1.38E+11,2,Dalea_pulchra_134,,220,164,63,2533,345,87,258,245,206,247,183,831,230,5,114,578,22,398,42
Dalea,pulchra,20,sew 1614,2020,32.33819,-110.69164,5324,7969,-0.55,-24.7,2.22,44.85,20.2027027,-8.78,415.75,122.756826,16.32318261,0.527574452,219.3390783,144,558,0.000496,0.040088,80.822581,3,3,1.38E+11,2,Dalea_pulchra_134,,232,179,63,2558,370,90,280,254,227,261,196,878,237,5,116,618,20,195,31
Dalea,purpurea,14,M Lavin sn,2020,45.392329,-109.871891,2827,6482,-1.9,-26.2,1.53,39.76,25.9869281,-8.28,415.75,98.85403688,18.40213596,0.619563538,257.583541,53,510,0.000984,0.1088488,110.6187,5,2,1.82E+12,2,Dalea_purpurea_94,,200,159,63,2297,324,75,249,221,190,225,167,816,221,5,112,559,23,379,43
Dalea,purpurea,15,Welker s.n.,1981,46.252809,-105.732331,8486,9106,3.4,-26.9,2.51,39.8,15.85657371,-7.533,338.215,66.38616222,19.90237386,0.685945746,231.9971404,75,334,0.001188,0.059592,50.161616,3,2,1.82E+12,2,Dalea_purpurea_94,,200,159,63,2297,324,75,249,221,190,225,167,816,221,5,112,559,23,379,43
Dalea,purpurea,15,J Welker s.n.,1981,46.252809,-105.732331,8658,9058,3.46,-26.8,2.62,40.55,15.47709924,-7.533,338.215,67.36637632,19.79757501,0.681308629,230.4287979,75,334,0.001188,0.059592,50.161616,5,2,1.82E+12,2,Dalea_purpurea_94,,222,143,67,2182,320,108,212,244,217,245,193,1158,306,4,117,824,17,761,37
Dalea,purpurea,14,M Lavin sn,2020,45.392329,-109.871891,2206,5188,-1.97,-26.3,1.49,36.24,24.32214765,-8.28,415.75,97.65150121,18.50672692,0.624191457,259.5075981,53,510,0.000984,0.1088488,110.6187,5,2,1.82E+12,2,Dalea_purpurea_94,,219,158,64,2383,336,92,244,240,204,244,185,1009,285,4,116,701,22,463,58
Dalea,purpurea,13,M Lavin s.n.Â,2014,45.679118,-110.823551,3454,6240,-1.67,-26.7,1.83,39.2,21.42076503,-8.313,395.825,88.76068696,18.89140039,0.641212407,253.8079009,40,635,0.001552,0.11932,76.881443,5,2,1.82E+12,2,Dalea_purpurea_94,,169,168,64,2712,295,33,262,195,160,200,131,675,181,4,102,435,20,318,43
Dalea,purpurea,13A,M Lavin s.n.Â,2014,45.679118,-110.823551,4201,7284,-1.67,-26.6,1.93,42.11,21.81865285,-8.313,395.825,89.90649365,18.78672694,0.636580838,251.9746102,40,635,0.01552,1.1932,76.8814433,5,2,1.82E+12,2,Dalea_purpurea_94,,175,163,65,2517,297,48,249,197,151,202,139,496,95,9,81,256,34,152,34
Dalea,versicolor,88,Sanders 4956,1984,23.63333,-105.84167,3269,13622,-1.52,-28.56,2.02,51.35,25.42079208,-7.615,342.625,51.53800351,21.56077576,0.759326361,260.1641944,,,0.00029,0.018,62.06896552,17,3,6.93E+11,2,Dalea_versicolor_96,,175,163,65,2517,297,48,249,197,151,202,139,496,95,9,81,256,34,152,34
Dalea,versicolor,8,SEW 1612,2020,31.38965,-111.12643,5785,7692,-0.86,-27.7,2.43,42.09,17.32098765,-8.48,415.75,83.15504221,19.76756145,0.679980595,282.7019325,156,522,0.000616,0.0429,69.642857,17,3,6.93E+11,2,Dalea_versicolor_96,,152,155,62,2837,273,23,250,173,138,185,112,541,141,1,102,354,11,210,55
Dalea,versicolor,8,SEW 1612,2020,31.38965,-111.12643,8282,9969,-0.82,-27.5,2.49,43.95,17.65060241,-8.48,415.75,85.56630983,19.55784062,0.670700912,278.8439043,156,522,0.000616,0.0429,69.642857,17,3,6.93E+11,2,Dalea_versicolor_96,,180,159,60,3294,303,42,261,214,188,216,133,631,160,4,105,415,20,270,59
Marina,alamosana,347,Van Devender 90-649,1990,27.58,-108.88,3541,6547,-2.15,-29.9,2.01,40.67,20.23383085,-7.6975,351.3,39.96022158,22.88681579,0.818000699,287.3636455,,,0.000557143,0.08,143.5897068,12,2,65643451169,1,Marina_alamosana_32,,180,159,60,3294,303,42,261,214,188,216,133,631,160,4,105,415,20,270,59
Marina,alamosana,388,Sanders 13270,1993,27.02,-108.95,3750,5862,-1.51,-27.1,2.68,45.42,16.94776119,-8.08,360.28,74.23003904,19.54979957,0.670345114,241.5119375,,,0.000361111,0.027,74.76925378,12,2,65643451169,1,Marina_alamosana_32,,239,130,56,3911,342,110,232,277,222,287,189,270,87,1,113,187,3,170,20
Marina,alamosana,349,Van Devender 97-1250,1997,28.3697,-108.6464,4384,6669,-1.18,-28.81,2.5,43.45,17.38,-7.7,358.07,52.12393587,21.73622051,0.767089403,274.6717026,,,0.0003,0.024,80,12,2,65643451169,1,Marina_alamosana_32,,239,130,56,3911,342,110,232,277,222,287,189,270,87,1,113,187,3,170,20
Marina,alamosana,385,reina 2009-1020,2009,29.395833,-109.140278,4194,4386,2.73,-27.52,3.96,43.69,11.03282828,-8.01,382.2,73.33135636,20.06210925,0.693013683,264.8698298,,,0.000271429,0.029,106.8419366,12,2,65643451169,1,Marina_alamosana_32,,239,130,56,3911,342,110,232,277,222,287,189,270,87,1,113,187,3,170,20
Marina,calycosa,21,SEW 1604,2020,31.38997,-110.73927,4245,7684,-1.99,-27.8,1.82,42.55,23.37912088,-8.48,414.25,81.65336937,19.87245423,0.684621868,283.604609,140,588,0.000304,0.011004,36.197368,12,2,1.16E+11,2,Marina_calycosa_PatagoniaMtns_98,,239,130,56,3911,342,110,232,277,222,287,189,270,87,1,113,187,3,170,20
Marina,calycosa,21,SEW 1604,2020,31.38997,-110.73927,4432,8037,-1.94,-27.8,1.78,41.92,23.5505618,-8.48,414.25,81.65336937,19.87245423,0.684621868,283.604609,140,588,0.000304,0.011004,36.197368,12,2,1.16E+11,2,Marina_calycosa_PatagoniaMtns_98,,194,132,58,3628,298,73,225,239,205,239,148,410,124,0,118,289,4,289,54
